scenario	tree_type	rep	threshold	TP	FP	FN	TN	precision	recall
humnea_50_10	_tsinfer.ts	9	0.5	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.6	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.7	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.8	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.9	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.95	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.99	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.999	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	0.9999	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	9	1.0	0	0	21677044	188322956	0	0.0
humnea_50_10	_tsinfer.ts	10	0.5	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.6	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.7	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.8	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.9	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.95	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.99	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.999	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	0.9999	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	10	1.0	0	0	7052643	202947357	0	0.0
humnea_50_10	_tsinfer.ts	11	0.5	0	0	929119	169070881	0	0.0
humnea_50_10	_tsinfer.ts	11	0.6	0	0	929119	169070881	0	0.0
humnea_50_10	_tsinfer.ts	11	0.7	0	0	929119	169070881	0	0.0
humnea_50_10	_tsinfer.ts	11	0.8	0	0	929119	169070881	0	0.0
humnea_50_10	_tsinfer.ts	11	0.9	0	0	929119	169070881	0	0.0
humnea_50_10	_tsinfer.ts	11	0.95	0	0	929119	169070881	0	0.0
