scenario	tree_type	rep	threshold	TP	FP	FN	TN	precision	recall
humnea_50_10	.relate.trees	0	0.5	0	12461837	0	197538163	0.0	0.0
humnea_50_10	.relate.trees	0	0.6	0	12247378	0	197752622	0.0	0.0
humnea_50_10	.relate.trees	0	0.7	0	11839150	0	198160850	0.0	0.0
humnea_50_10	.relate.trees	0	0.8	0	11498792	0	198501208	0.0	0.0
humnea_50_10	.relate.trees	0	0.9	0	10868668	0	199131332	0.0	0.0
humnea_50_10	.relate.trees	0	0.95	0	9330109	0	200669891	0.0	0.0
humnea_50_10	.relate.trees	0	0.99	0	3073215	0	196926785	0.0	0.0
humnea_50_10	.relate.trees	0	0.999	0	587654	0	69412346	0.0	0.0
humnea_50_10	.relate.trees	1	0.5	221724	11205903	160733	198411640	0.0194024533702403	0.5797357611443901
humnea_50_10	.relate.trees	1	0.6	220698	11097655	161759	198519888	0.0194991267722432	0.5770531066237512
humnea_50_10	.relate.trees	1	0.7	220698	11064889	161759	198552654	0.0195557395463789	0.5770531066237512
humnea_50_10	.relate.trees	1	0.8	220698	10921260	161759	198696283	0.0198078291086719	0.5770531066237512
humnea_50_10	.relate.trees	1	0.9	220698	10345384	161759	199272159	0.0208874017824203	0.5770531066237512
humnea_50_10	.relate.trees	1	0.95	203516	8821199	178941	200796344	0.0225509614431037	0.5321277947586265
humnea_50_10	.relate.trees	1	0.99	6382	3050900	376075	206566643	0.0020874750840779	0.0166868432268202
humnea_50_10	.relate.trees	1	0.999	0	373908	382457	179243635	0.0	0.0
humnea_50_10	.relate.trees	2	0.5	0	13675941	0	196324059	0.0	0.0
humnea_50_10	.relate.trees	2	0.6	0	13557440	0	196442560	0.0	0.0
humnea_50_10	.relate.trees	2	0.7	0	13484789	0	196515211	0.0	0.0
humnea_50_10	.relate.trees	2	0.8	0	13267842	0	196732158	0.0	0.0
humnea_50_10	.relate.trees	2	0.9	0	12465629	0	197534371	0.0	0.0
humnea_50_10	.relate.trees	2	0.95	0	10336895	0	199663105	0.0	0.0
